Log Data for Client IPAddres: 127.0.1.1 Pid: 11131
"

Testing Data for Client IPAddres: 127.0.1.1 Pid: 11131 .."
Rew: ,200.0,Train_count: ,0,Update_count: ,0
Rew: ,200.0,Train_count: ,7,Update_count: ,1
Rew: ,200.0,Train_count: ,17,Update_count: ,4
Rew: ,200.0,Train_count: ,27,Update_count: ,6
Rew: ,200.0,Train_count: ,37,Update_count: ,9
Rew: ,200.0,Train_count: ,47,Update_count: ,11
Rew: ,200.0,Train_count: ,57,Update_count: ,14
Rew: ,200.0,Train_count: ,67,Update_count: ,16
Rew: ,200.0,Train_count: ,77,Update_count: ,19
Rew: ,200.0,Train_count: ,87,Update_count: ,21
Rew: ,200.0,Train_count: ,97,Update_count: ,24
Rew: ,200.0,Train_count: ,107,Update_count: ,26
Rew: ,200.0,Train_count: ,117,Update_count: ,29
Rew: ,200.0,Train_count: ,127,Update_count: ,31
Rew: ,200.0,Train_count: ,137,Update_count: ,34
Rew: ,200.0,Train_count: ,147,Update_count: ,36
Rew: ,200.0,Train_count: ,157,Update_count: ,39
Rew: ,200.0,Train_count: ,167,Update_count: ,41
Rew: ,200.0,Train_count: ,177,Update_count: ,44
Rew: ,200.0,Train_count: ,187,Update_count: ,46
Rew: ,200.0,Train_count: ,197,Update_count: ,49
Rew: ,200.0,Train_count: ,207,Update_count: ,51
Rew: ,200.0,Train_count: ,217,Update_count: ,54
Rew: ,200.0,Train_count: ,227,Update_count: ,56
Rew: ,200.0,Train_count: ,237,Update_count: ,59
Rew: ,200.0,Train_count: ,247,Update_count: ,61
Rew: ,200.0,Train_count: ,257,Update_count: ,64
Rew: ,200.0,Train_count: ,267,Update_count: ,66
Rew: ,200.0,Train_count: ,277,Update_count: ,69
Rew: ,200.0,Train_count: ,287,Update_count: ,71
Rew: ,200.0,Train_count: ,297,Update_count: ,74
Rew: ,200.0,Train_count: ,307,Update_count: ,76
Rew: ,200.0,Train_count: ,317,Update_count: ,79
Rew: ,200.0,Train_count: ,327,Update_count: ,81
Rew: ,200.0,Train_count: ,337,Update_count: ,84
Rew: ,200.0,Train_count: ,347,Update_count: ,86
Rew: ,200.0,Train_count: ,357,Update_count: ,89
Rew: ,200.0,Train_count: ,367,Update_count: ,91
Rew: ,200.0,Train_count: ,377,Update_count: ,94
Rew: ,200.0,Train_count: ,387,Update_count: ,96
Rew: ,200.0,Train_count: ,397,Update_count: ,99
Rew: ,200.0,Train_count: ,407,Update_count: ,101
Rew: ,200.0,Train_count: ,417,Update_count: ,104
Rew: ,200.0,Train_count: ,427,Update_count: ,106
Rew: ,200.0,Train_count: ,437,Update_count: ,109
Rew: ,200.0,Train_count: ,447,Update_count: ,111
Rew: ,200.0,Train_count: ,457,Update_count: ,114
Rew: ,200.0,Train_count: ,467,Update_count: ,116
Rew: ,200.0,Train_count: ,477,Update_count: ,119
Rew: ,200.0,Train_count: ,487,Update_count: ,121
Rew: ,200.0,Train_count: ,497,Update_count: ,124
