epoch,reward,tr,loss
1,9.0,1,(2.466669091205631e-09, 1.0331794023513794)
10,10.0,10,(2.553264710769554e-09, 0.9735797047615051)
20,55.0,20,(2.2680559652599186e-09, 0.8902574777603149)
30,27.0,30,(2.3094028911430087e-09, 0.9206279516220093)
40,10.0,40,(2.2609651928462426e-09, 0.8693448305130005)
50,9.0,50,(2.110509544905881e-09, 0.8231322765350342)
60,11.0,60,(1.8327850348498487e-09, 0.724528431892395)
70,12.0,70,(1.4871979203689989e-09, 0.5923463106155396)
80,11.0,80,(8.988685351596359e-10, 0.3576183021068573)
90,11.0,90,(5.487130749770586e-10, 0.21079514920711517)
100,13.0,100,(5.46265255252365e-11, 0.02110873907804489)
110,14.0,110,(5.1372683884665094e-11, 0.020316896960139275)
120,9.0,120,(5.115907697472721e-13, 0.00019186139979865402)
130,9.0,130,(1.672937344210368e-10, 0.06291434168815613)
140,10.0,140,(1.566746732351021e-12, 0.0006022207089699805)
150,10.0,150,(1.2159162565694714e-10, 0.046239420771598816)
160,9.0,160,(3.637978807091713e-12, 0.001376645639538765)
170,9.0,170,(4.863665026277886e-12, 0.0018328154692426324)
180,8.0,180,(8.981615451375546e-11, 0.032829735428094864)
190,10.0,190,(5.0521808958592374e-11, 0.022311098873615265)
200,10.0,200,(2.2027180079930986e-10, 0.07134691625833511)
210,8.0,210,(1.1004885891452432e-10, 0.03996836394071579)
220,9.0,220,(3.3795188869589765e-13, 0.00014333330909721553)
230,9.0,230,(5.2230664238095414e-11, 0.022660747170448303)
240,9.0,240,(7.572964477731148e-11, 0.03620972856879234)
250,10.0,250,(6.66808830374066e-11, 0.02602413296699524)
260,9.0,260,(2.447464453325665e-11, 0.009352771565318108)
270,9.0,270,(1.985123176950765e-11, 0.007743003312498331)
280,8.0,280,(3.6421088367433185e-11, 0.014365775510668755)
290,8.0,290,(5.0309978405493894e-11, 0.02002447471022606)
300,11.0,300,(2.2172486069393926e-11, 0.008720532059669495)
310,9.0,310,(3.5705216561154884e-11, 0.013672292232513428)
320,9.0,320,(7.808198532188726e-11, 0.02882484905421734)
330,8.0,330,(3.4749838562220248e-09, 2.0174877643585205)
340,8.0,340,(7.495382092770342e-11, 0.03853154927492142)
350,10.0,350,(7.469580509678053e-11, 0.02745102532207966)
360,9.0,360,(1.4104495349442914e-10, 0.050728220492601395)
370,8.0,370,(5.5289550715542646e-11, 0.02103087119758129)
380,10.0,380,(1.7408297026122455e-11, 0.0066753714345395565)
390,9.0,390,(1.4069101439417864e-10, 0.04904700815677643)
400,10.0,400,(4.4565240386873484e-11, 0.016635267063975334)
410,10.0,410,(8.453016064891017e-11, 0.030323153361678123)
420,10.0,420,(1.2683631922527638e-11, 0.004759619012475014)
430,9.0,430,(2.4202861936828413e-13, 0.00010761142038973048)
440,10.0,440,(1.0418910179055274e-10, 0.0363868810236454)
450,9.0,450,(2.2595703086381036e-11, 0.008476903662085533)
460,8.0,460,(2.4482638139033952e-12, 0.0008407813147641718)
470,10.0,470,(4.1247449900083666e-11, 0.01888207718729973)
480,9.0,480,(1.8417267710901797e-11, 0.008168277330696583)
490,9.0,490,(5.730171892537328e-11, 0.020531900227069855)
500,10.0,500,(8.530065542800003e-12, 0.0030415523797273636)
510,9.0,510,(0.0, 4.184607860224787e-08)
520,9.0,520,(2.0520474208751693e-11, 0.009018166922032833)
530,10.0,530,(5.1800785882960554e-11, 0.019131161272525787)
540,10.0,540,(7.495382092770342e-11, 0.03206111118197441)
550,10.0,550,(5.2878590395266656e-11, 0.019687378779053688)
560,10.0,560,(2.589928271845565e-12, 0.000926381500903517)
570,9.0,570,(2.722266856380884e-13, 8.534954395145178e-05)
580,9.0,580,(6.004086117172847e-13, 0.00028193320031277835)
590,9.0,590,(2.8141045049778768e-11, 0.013329396024346352)
600,9.0,600,(4.1247449900083666e-11, 0.01906183920800686)
610,8.0,610,(1.6044943151882762e-12, 0.0007094449829310179)
620,9.0,620,(6.050360212839223e-09, 2.577232837677002)
630,8.0,630,(1.566746732351021e-12, 0.0006329933530651033)
640,17.0,640,(9.606537787476555e-12, 0.0040470608510077)
650,9.0,650,(5.259723767636615e-09, 1.9950112104415894)
660,28.0,660,(3.552713678800501e-15, 1.5482987691939343e-06)
670,40.0,670,(1.1102230246251565e-14, 4.167068254901096e-06)
680,37.0,680,(6.266986929404084e-12, 0.0026486252900213003)
690,34.0,690,(1.9062529332813938e-11, 0.008378192782402039)
700,41.0,700,(3.2511771053123084e-12, 0.0012368169846013188)
710,83.0,710,(8.507905491228485e-11, 0.03617298975586891)
720,55.0,720,(5.115907697472721e-13, 0.00019129380234517157)
730,105.0,730,(2.708944180085382e-14, 1.0667384231055621e-05)
740,46.0,740,(9.81938974575769e-11, 0.04065681993961334)
750,39.0,750,(2.2158457291254763e-09, 0.897389829158783)
760,59.0,760,(4.2792880350361884e-11, 0.01811636984348297)
770,79.0,770,(5.6843418860808015e-12, 0.0021665284875780344)
780,51.0,780,(3.4141578453272814e-12, 0.0013970668660476804)
790,46.0,790,(3.291278360961769e-11, 0.013539194129407406)
800,17.0,800,(6.963318810448982e-11, 0.027404669672250748)
810,16.0,810,(4.240385820253323e-11, 0.015472488477826118)
820,12.0,820,(1.615237721352969e-08, 6.268676280975342)
830,12.0,830,(9.555378710501827e-11, 0.032966386526823044)
840,10.0,840,(6.864198098810448e-11, 0.031739525496959686)
850,9.0,850,(8.343770119267901e-11, 0.02800077386200428)
860,9.0,860,(1.1542766742422828e-11, 0.003959478344768286)
870,11.0,870,(1.6914469824769185e-11, 0.008298901841044426)
880,11.0,880,(3.8611336350413694e-11, 0.01383653748780489)
890,8.0,890,(8.185452315956354e-12, 0.004233380313962698)
900,10.0,900,(2.942002197414695e-11, 0.010211949236690998)
910,15.0,910,(1.2159162565694714e-10, 0.04920733720064163)
920,18.0,920,(4.167777234442838e-12, 0.001652626902796328)
930,20.0,930,(8.264500195309665e-13, 0.00034414371475577354)
940,18.0,940,(7.194245199571014e-12, 0.002692759269848466)
