round,contri
1,9.3
2,9.3
3,27.4
4,138.1
5,71.7
6,123.9
7,183.1
8,173.2
9,200.0
10,200.0
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,192.4
19,195.4
20,200.0
21,193.1
22,200.0
23,199.8
24,181.8
25,195.8
26,200.0
27,188.9
28,190.7
29,195.8
30,190.7
31,197.4
32,195.6
33,196.5
34,187.8
35,189.7
36,190.4
37,196.5
38,181.4
39,174.5
40,196.5
41,195.4
42,191.0
43,186.5
44,194.8
45,195.1
46,196.4
47,192.5
48,199.4
49,198.6
50,197.7
51,199.1
52,181.1
53,200.0
54,190.5
55,193.7
56,185.6
57,190.9
58,199.0
59,194.5
60,194.9
61,197.6
62,195.0
63,198.0
64,196.8
